iter	Passed	Remaining
0	0	22
1	0	19
2	0	17
3	0	16
4	0	15
5	0	15
6	0	15
7	0	14
8	0	14
9	0	14
10	1	14
11	1	14
12	1	14
13	1	13
14	1	13
15	1	13
16	1	13
17	1	13
18	1	13
19	1	13
20	1	13
21	2	12
22	2	12
23	2	12
24	2	12
25	2	12
26	2	12
27	2	12
28	2	12
29	2	11
30	2	11
31	2	11
32	2	11
33	3	11
34	3	11
35	3	11
36	3	11
37	3	11
38	3	12
39	3	12
40	4	12
41	4	11
42	4	11
43	4	11
44	4	11
45	4	11
46	4	11
47	4	11
48	4	11
49	4	11
50	5	11
51	5	11
52	5	10
53	5	10
54	5	10
55	5	10
56	5	10
57	5	10
58	5	10
59	5	10
60	6	10
61	6	10
62	6	9
63	6	9
64	6	9
65	6	9
66	6	9
67	6	9
68	6	9
69	6	9
70	7	9
71	7	8
72	7	8
73	7	8
74	7	8
75	7	8
76	7	8
77	7	8
78	7	8
79	7	8
80	7	7
81	8	7
82	8	7
83	8	7
84	8	7
85	8	7
86	8	7
87	8	7
88	8	7
89	8	7
90	8	6
91	8	6
92	9	6
93	9	6
94	9	6
95	9	6
96	9	6
97	9	6
98	9	6
99	9	6
100	9	5
101	9	5
102	10	5
103	10	5
104	10	5
105	10	5
106	10	5
107	10	5
108	10	5
109	10	5
110	10	4
111	10	4
112	11	4
113	11	4
114	11	4
115	11	4
116	11	4
117	11	4
118	11	4
119	11	4
120	11	4
121	11	3
122	12	3
123	12	3
124	12	3
125	12	3
126	12	3
127	12	3
128	12	3
129	12	3
130	12	3
131	12	2
132	13	2
133	13	2
134	13	2
135	13	2
136	13	2
137	13	2
138	13	2
139	13	2
140	13	2
141	13	1
142	14	1
143	14	1
144	14	1
145	14	1
146	14	1
147	14	1
148	14	1
149	14	1
150	14	1
151	14	0
152	15	0
153	15	0
154	15	0
155	15	0
156	15	0
157	15	0
158	15	0
159	15	0
160	15	0
161	16	0
